# Rejected / skipped decks log
# format: <reason> | url=<source_url> event=<event> placement=<placement>
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28282 event=NAIC 2026, New Orleans placement=43
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28284 event=NAIC 2026, New Orleans placement=45
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28285 event=NAIC 2026, New Orleans placement=46
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28286 event=NAIC 2026, New Orleans placement=47
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/27952 event=NAIC 2026, New Orleans placement=48
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28287 event=NAIC 2026, New Orleans placement=49
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28288 event=NAIC 2026, New Orleans placement=50
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/27981 event=NAIC 2026, New Orleans placement=51
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28290 event=NAIC 2026, New Orleans placement=53
invalid: unresolved: "Transformation Tome" CRI 83 not in pool; unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28293 event=NAIC 2026, New Orleans placement=56
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28295 event=NAIC 2026, New Orleans placement=59
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28296 event=NAIC 2026, New Orleans placement=60
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28297 event=NAIC 2026, New Orleans placement=61
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28298 event=NAIC 2026, New Orleans placement=62
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28300 event=NAIC 2026, New Orleans placement=64
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28301 event=NAIC 2026, New Orleans placement=65
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/27941 event=NAIC 2026, New Orleans placement=66
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28303 event=NAIC 2026, New Orleans placement=68
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/27948 event=NAIC 2026, New Orleans placement=71
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/27944 event=NAIC 2026, New Orleans placement=72
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/27961 event=NAIC 2026, New Orleans placement=74
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28306 event=NAIC 2026, New Orleans placement=75
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28307 event=NAIC 2026, New Orleans placement=76
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28308 event=NAIC 2026, New Orleans placement=77
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28309 event=NAIC 2026, New Orleans placement=78
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28153 event=NAIC 2026, New Orleans placement=79
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28310 event=NAIC 2026, New Orleans placement=80
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28312 event=NAIC 2026, New Orleans placement=83
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28313 event=NAIC 2026, New Orleans placement=85
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28315 event=NAIC 2026, New Orleans placement=87
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28317 event=NAIC 2026, New Orleans placement=89
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28318 event=NAIC 2026, New Orleans placement=90
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28321 event=NAIC 2026, New Orleans placement=93
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28322 event=NAIC 2026, New Orleans placement=96
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28323 event=NAIC 2026, New Orleans placement=97
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28325 event=NAIC 2026, New Orleans placement=101
invalid: unresolved: "Transformation Tome" CRI 83 not in pool; unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28327 event=NAIC 2026, New Orleans placement=104
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28328 event=NAIC 2026, New Orleans placement=105
invalid: unresolved: "Transformation Tome" CRI 83 not in pool; unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28329 event=NAIC 2026, New Orleans placement=106
invalid: unresolved: "Pokémon Center Lady" MEG 123 not in pool | url=https://limitlesstcg.com/decks/list/28330 event=NAIC 2026, New Orleans placement=107
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28333 event=NAIC 2026, New Orleans placement=112
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28334 event=NAIC 2026, New Orleans placement=113
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28336 event=NAIC 2026, New Orleans placement=118
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28337 event=NAIC 2026, New Orleans placement=119
invalid: unresolved: "Transformation Tome" CRI 83 not in pool; unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28338 event=NAIC 2026, New Orleans placement=120
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28339 event=NAIC 2026, New Orleans placement=121
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28341 event=NAIC 2026, New Orleans placement=123
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28342 event=NAIC 2026, New Orleans placement=124
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28343 event=NAIC 2026, New Orleans placement=125
invalid: unresolved: "Pokémon Center Lady" MEG 123 not in pool | url=https://limitlesstcg.com/decks/list/28344 event=NAIC 2026, New Orleans placement=127
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28345 event=NAIC 2026, New Orleans placement=128
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/27939 event=NAIC 2026, New Orleans placement=130
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28347 event=NAIC 2026, New Orleans placement=131
invalid: unresolved: "Pokémon Center Lady" MEG 123 not in pool | url=https://limitlesstcg.com/decks/list/28348 event=NAIC 2026, New Orleans placement=132
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28350 event=NAIC 2026, New Orleans placement=134
invalid: unresolved: "Prism Tower" CRI 80 not in pool | url=https://limitlesstcg.com/decks/list/28351 event=NAIC 2026, New Orleans placement=135
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28353 event=NAIC 2026, New Orleans placement=138
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28354 event=NAIC 2026, New Orleans placement=139
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28355 event=NAIC 2026, New Orleans placement=140
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28356 event=NAIC 2026, New Orleans placement=142
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28357 event=NAIC 2026, New Orleans placement=143
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28358 event=NAIC 2026, New Orleans placement=144
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28360 event=NAIC 2026, New Orleans placement=146
invalid: unresolved: "Transformation Tome" CRI 83 not in pool; unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28363 event=NAIC 2026, New Orleans placement=152
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28365 event=NAIC 2026, New Orleans placement=154
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28366 event=NAIC 2026, New Orleans placement=157
invalid: unresolved: "Prism Tower" CRI 80 not in pool | url=https://limitlesstcg.com/decks/list/28369 event=NAIC 2026, New Orleans placement=160
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28370 event=NAIC 2026, New Orleans placement=163
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28373 event=NAIC 2026, New Orleans placement=167
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28374 event=NAIC 2026, New Orleans placement=168
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28379 event=NAIC 2026, New Orleans placement=179
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28380 event=NAIC 2026, New Orleans placement=180
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28381 event=NAIC 2026, New Orleans placement=181
invalid: unresolved: "Pokémon Center Lady" MEG 123 not in pool; unresolved: "Bubbly Water Energy" CRI 84 not in pool | url=https://limitlesstcg.com/decks/list/28383 event=NAIC 2026, New Orleans placement=184
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28385 event=NAIC 2026, New Orleans placement=187
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/27946 event=NAIC 2026, New Orleans placement=188
invalid: unresolved: "Pokémon Center Lady" MEG 123 not in pool; unresolved: "AZ's Tranquility" CRI 76 not in pool | url=https://limitlesstcg.com/decks/list/28386 event=NAIC 2026, New Orleans placement=190
invalid: unresolved: "Hisuian Growlithe" TWM 99 not in pool; unresolved: "Hisuian Arcanine" TWM 100 not in pool; unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28387 event=NAIC 2026, New Orleans placement=192
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/27953 event=NAIC 2026, New Orleans placement=195
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28389 event=NAIC 2026, New Orleans placement=196
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28140 event=NAIC 2026, New Orleans placement=198
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28390 event=NAIC 2026, New Orleans placement=200
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28391 event=NAIC 2026, New Orleans placement=204
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28392 event=NAIC 2026, New Orleans placement=207
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28393 event=NAIC 2026, New Orleans placement=208
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28394 event=NAIC 2026, New Orleans placement=209
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28395 event=NAIC 2026, New Orleans placement=210
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28396 event=NAIC 2026, New Orleans placement=213
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28397 event=NAIC 2026, New Orleans placement=214
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28399 event=NAIC 2026, New Orleans placement=216
invalid: unresolved: "Pokémon Center Lady" MEG 123 not in pool | url=https://limitlesstcg.com/decks/list/28401 event=NAIC 2026, New Orleans placement=221
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28402 event=NAIC 2026, New Orleans placement=222
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28404 event=NAIC 2026, New Orleans placement=225
invalid: unresolved: "Weedle" CRI 1 not in pool; unresolved: "Kakuna" CRI 2 not in pool; unresolved: "Beedrill ex" CRI 3 not in pool; unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28406 event=NAIC 2026, New Orleans placement=229
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28407 event=NAIC 2026, New Orleans placement=230
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28408 event=NAIC 2026, New Orleans placement=232
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28409 event=NAIC 2026, New Orleans placement=233
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28410 event=NAIC 2026, New Orleans placement=234
invalid: unresolved: "Transformation Tome" CRI 83 not in pool; unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28413 event=NAIC 2026, New Orleans placement=239
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28414 event=NAIC 2026, New Orleans placement=241
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28415 event=NAIC 2026, New Orleans placement=242
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28418 event=NAIC 2026, New Orleans placement=247
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28421 event=NAIC 2026, New Orleans placement=250
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28422 event=NAIC 2026, New Orleans placement=251
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28423 event=NAIC 2026, New Orleans placement=252
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28424 event=NAIC 2026, New Orleans placement=253
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28425 event=NAIC 2026, New Orleans placement=255
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28427 event=NAIC 2026, New Orleans placement=258
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/27940 event=NAIC 2026, New Orleans placement=259
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28429 event=NAIC 2026, New Orleans placement=261
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28430 event=NAIC 2026, New Orleans placement=262
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28432 event=NAIC 2026, New Orleans placement=265
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/27960 event=NAIC 2026, New Orleans placement=270
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28434 event=NAIC 2026, New Orleans placement=274
invalid: unresolved: "Pokémon Center Lady" MEG 123 not in pool | url=https://limitlesstcg.com/decks/list/28435 event=NAIC 2026, New Orleans placement=275
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28437 event=NAIC 2026, New Orleans placement=277
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28438 event=NAIC 2026, New Orleans placement=280
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28439 event=NAIC 2026, New Orleans placement=281
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28226 event=NAIC 2026, New Orleans placement=282
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28440 event=NAIC 2026, New Orleans placement=283
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28441 event=NAIC 2026, New Orleans placement=284
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28442 event=NAIC 2026, New Orleans placement=285
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28444 event=NAIC 2026, New Orleans placement=288
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28445 event=NAIC 2026, New Orleans placement=291
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28446 event=NAIC 2026, New Orleans placement=293
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28447 event=NAIC 2026, New Orleans placement=294
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28448 event=NAIC 2026, New Orleans placement=295
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28449 event=NAIC 2026, New Orleans placement=296
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28450 event=NAIC 2026, New Orleans placement=297
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28451 event=NAIC 2026, New Orleans placement=301
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28452 event=NAIC 2026, New Orleans placement=303
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28454 event=NAIC 2026, New Orleans placement=305
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28457 event=NAIC 2026, New Orleans placement=308
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28458 event=NAIC 2026, New Orleans placement=309
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28460 event=NAIC 2026, New Orleans placement=313
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28461 event=NAIC 2026, New Orleans placement=317
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28462 event=NAIC 2026, New Orleans placement=319
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28464 event=NAIC 2026, New Orleans placement=321
invalid: unresolved: "Transformation Tome" CRI 83 not in pool; unresolved: "Special Red Card" CRI 82 not in pool; unresolved: "Prism Tower" CRI 80 not in pool | url=https://limitlesstcg.com/decks/list/28465 event=NAIC 2026, New Orleans placement=323
invalid: unresolved: "Transformation Tome" CRI 83 not in pool; unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28466 event=NAIC 2026, New Orleans placement=324
invalid: unresolved: "Weedle" CRI 1 not in pool; unresolved: "Kakuna" CRI 2 not in pool; unresolved: "Beedrill ex" CRI 3 not in pool; unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28467 event=NAIC 2026, New Orleans placement=325
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28469 event=NAIC 2026, New Orleans placement=327
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28471 event=NAIC 2026, New Orleans placement=329
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28473 event=NAIC 2026, New Orleans placement=331
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28475 event=NAIC 2026, New Orleans placement=334
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28478 event=NAIC 2026, New Orleans placement=337
invalid: unresolved: "Pokémon Center Lady" MEG 123 not in pool | url=https://limitlesstcg.com/decks/list/28480 event=NAIC 2026, New Orleans placement=339
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28481 event=NAIC 2026, New Orleans placement=340
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28483 event=NAIC 2026, New Orleans placement=342
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28485 event=NAIC 2026, New Orleans placement=345
invalid: unresolved: "Transformation Tome" CRI 83 not in pool; unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28486 event=NAIC 2026, New Orleans placement=346
invalid: unresolved: "Transformation Tome" CRI 83 not in pool; unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28489 event=NAIC 2026, New Orleans placement=349
invalid: unresolved: "Pokémon Center Lady" MEG 123 not in pool | url=https://limitlesstcg.com/decks/list/28490 event=NAIC 2026, New Orleans placement=350
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28491 event=NAIC 2026, New Orleans placement=353
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28492 event=NAIC 2026, New Orleans placement=354
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28493 event=NAIC 2026, New Orleans placement=355
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28494 event=NAIC 2026, New Orleans placement=356
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28495 event=NAIC 2026, New Orleans placement=357
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28496 event=NAIC 2026, New Orleans placement=358
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28497 event=NAIC 2026, New Orleans placement=359
invalid: unresolved: "Transformation Tome" CRI 83 not in pool; unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28498 event=NAIC 2026, New Orleans placement=361
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28499 event=NAIC 2026, New Orleans placement=362
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28500 event=NAIC 2026, New Orleans placement=365
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28501 event=NAIC 2026, New Orleans placement=367
